node	label	league
1	BrighamYoung	7
2	FloridaState	0
3	Iowa	2
4	KansasState	3
5	NewMexico	7
6	TexasTech	3
7	PennState	2
8	SouthernCalifornia	8
9	ArizonaState	8
10	SanDiegoState	7
11	Baylor	3
12	NorthTexas	10
13	NorthernIllinois	6
14	Northwestern	2
15	WesternMichigan	6
16	Wisconsin	2
17	Wyoming	7
18	Auburn	9
19	Akron	6
20	VirginiaTech	1
21	Alabama	9
22	UCLA	8
23	Arizona	8
24	Utah	7
25	ArkansasState	10
26	NorthCarolinaState	0
27	BallState	6
28	Florida	9
29	BoiseState	11
30	BostonCollege	1
31	WestVirginia	1
32	BowlingGreenState	6
33	Michigan	2
34	Virginia	0
35	Buffalo	6
36	Syracuse	1
37	CentralFlorida	5
38	GeorgiaTech	0
39	CentralMichigan	6
40	Purdue	2
41	Colorado	3
42	ColoradoState	7
43	Connecticut	5
44	EasternMichigan	6
45	EastCarolina	4
46	Duke	0
47	FresnoState	11
48	OhioState	2
49	Houston	4
50	Rice	11
51	Idaho	10
52	Washington	8
53	Kansas	3
54	SouthernMethodist	11
55	Kent	6
56	Pittsburgh	1
57	Kentucky	9
58	Louisville	4
59	LouisianaTech	11
60	LouisianaMonroe	10
61	Minnesota	2
62	MiamiOhio	6
63	Vanderbilt	9
64	MiddleTennesseeState	10
65	Illinois	2
66	MississippiState	9
67	Memphis	4
68	Nevada	11
69	Oregon	8
70	NewMexicoState	10
71	SouthCarolina	9
72	Ohio	6
73	IowaState	3
74	SanJoseState	11
75	Nebraska	3
76	SouthernMississippi	4
77	Tennessee	9
78	Stanford	8
79	WashingtonState	8
80	Temple	1
81	Navy	5
82	TexasA&M	3
83	NotreDame	5
84	TexasElPaso	11
85	Oklahoma	3
86	Toledo	6
87	Tulane	4
88	Mississippi	9
89	Tulsa	11
90	NorthCarolina	0
91	UtahState	5
92	Army	4
93	Cincinnati	4
94	AirForce	7
95	Rutgers	1
96	Georgia	9
97	LouisianaState	9
98	LouisianaLafayette	10
99	Texas	3
100	Marshall	6
101	MichiganState	2
102	MiamiFlorida	1
103	Missouri	3
104	Clemson	0
105	NevadaLasVegas	7
106	WakeForest	0
107	Indiana	2
108	OklahomaState	3
109	OregonState	8
110	Maryland	0
111	TexasChristian	4
112	California	8
113	AlabamaBirmingham	4
114	Arkansas	9
115	Hawaii	11
