"batch" "number.removed.egdes" "fraction.removed.edges" "CommonNeighbor" "CommonSuc" "CommonPre" "Jaccard" "ProdOutDeg" "ProdInDeg" "ProdDeg" "ShortestPath" "Model" 
b1 954 0.050 0.89034 0.77899 0.77163 0.83828 0.79856 0.83046 0.89203 0.84757 0.93501 
b2 1909 0.100 0.90125 0.78491 0.76711 0.85983 0.79286 0.81481 0.89727 0.83811 0.93082 
b3 3818 0.200 0.89461 0.77827 0.74840 0.85870 0.79847 0.82720 0.90443 0.86081 0.93686 
b4 5727 0.300 0.88473 0.75805 0.72406 0.85630 0.79563 0.81141 0.89806 0.87174 0.93280 
b5 7636 0.400 0.86697 0.72961 0.69923 0.83740 0.79595 0.80559 0.89765 0.87064 0.93357 
b6 9545 0.500 0.84414 0.70545 0.67479 0.82338 0.77585 0.80842 0.89984 0.87023 0.93319 
b7 11454 0.600 0.81174 0.66924 0.63897 0.79055 0.78319 0.77651 0.89510 0.86593 0.93240 
b8 13363 0.700 0.73691 0.61026 0.60353 0.72429 0.75631 0.77422 0.88561 0.85435 0.92498 
b9 15272 0.800 0.66002 0.56008 0.55952 0.65527 0.72836 0.73668 0.87871 0.82577 0.92180 
b10 17181 0.900 0.55993 0.52096 0.51966 0.55946 0.68050 0.66080 0.82639 0.71485 0.90300 
b11 18135 0.950 0.51689 0.50420 0.50557 0.51684 0.59721 0.61284 0.74691 0.55642 0.87958 
