"batch" "number.removed.egdes" "fraction.removed.edges" "CommonNeighbor" "CommonSuc" "CommonPre" "Jaccard" "ProdOutDeg" "ProdInDeg" "ProdDeg" "ShortestPath" "Model" 
b1 129 0.010 0.95455 0.85517 0.93939 0.93798 0.82443 0.83721 0.86822 0.75294 0.91473 
b2 645 0.050 0.96018 0.85917 0.94064 0.93818 0.80577 0.85913 0.87597 0.74392 0.89612 
b3 1290 0.100 0.94508 0.86088 0.91803 0.93117 0.79620 0.81797 0.84651 0.74105 0.85271 
b4 2581 0.200 0.93323 0.84853 0.90018 0.92352 0.80267 0.84603 0.85941 0.74816 0.86788 
b5 3871 0.300 0.93128 0.82671 0.89248 0.91972 0.79550 0.82990 0.85382 0.77294 0.87135 
b6 5162 0.400 0.92382 0.81831 0.86442 0.91055 0.80811 0.82459 0.85340 0.78101 0.86560 
b7 6452 0.500 0.91223 0.79416 0.83075 0.89885 0.79766 0.81610 0.84185 0.80814 0.86100 
b8 7743 0.600 0.88656 0.75604 0.78172 0.87972 0.78689 0.81428 0.84069 0.81542 0.86180 
b9 9033 0.700 0.84580 0.69671 0.71663 0.83837 0.78847 0.82165 0.84628 0.82123 0.85760 
b10 10324 0.800 0.76697 0.62621 0.62912 0.75912 0.77226 0.79462 0.83456 0.80680 0.84300 
b11 11614 0.900 0.61465 0.53777 0.53619 0.61178 0.71569 0.71993 0.80830 0.73740 0.81460 
b12 12259 0.950 0.53560 0.51035 0.50926 0.53526 0.67118 0.63597 0.73847 0.62497 0.77600 
